jurisdicti,EMC_Group,RC,EMC_Group_Area,RC_Group,Juris_LU_Volume,"Copper, Total - Dissolved - mg/L","Copper, Total - Total - mg/L",Fecal coliforms - Total - CFU/100 mL,"Lead, Total - Total - mg/L",TN - Total - mg/L,TP - Total - mg/L,TSS - Total - mg/L,"Zinc, Total - Dissolved - mg/L","Zinc, Total - Total - mg/L"
ALISO VIEJO,agriculture,0.222,12.713845295428296,Agriculture,1.5758811243683373,0.0308345972476853,0.18753060409808422,4976636097.259072,0.009163749306051388,105.2192420968755,12.318187178046339,3171.7954242251626,0.026592426957009953,0.43014495074493087
ALISO VIEJO,business,0.414,67.45681443990236,Light Industrial,15.59264265778343,0.4253931043128152,1.2463822613786997,3717446327655.391,0.16598536115227766,219.9478904566397,21.17299691864994,3293.943802286388,1.8400832819975206,6.786768069034107
ALISO VIEJO,business,0.422,203.84030133874364,Education,48.02817233376364,1.3102880487889617,3.8390838138884043,11450410093059.27,0.5112650693834886,677.4794638179015,65.21667732336292,10145.945370906902,5.667790823907548,20.90447870593288
ALISO VIEJO,business,0.486,515.2237748248427,Commercial,139.8059712987211,3.814138336745903,11.175250179581573,33331180993190.707,1.4882496281462272,1972.0857544981723,189.84026405806685,29533.9938706397,16.498462522116945,60.85117979644254
ALISO VIEJO,developed open space,0.217,965.3937189078367,Developed Open Space,116.965493993342,0.1402237038451575,2.871121851207414,28126914049739.58,0.6027930425124417,1741.4195511191024,205.6025492089929,24848.803488303638,3.338072526268168,5.708479168309656
ALISO VIEJO,highway/arterial,0.45,222.66752750617496,Freeway,55.94521628592646,3.5122315924388143,16.66670869845961,3221913695030.5835,5.429701946599697,1144.9876799244616,121.17610974119759,26208.962844013087,14.982960760017633,89.14680632148838
ALISO VIEJO,multi-family,0.485,795.0498647189866,Multi-family Residential,215.29287795036223,6.9888342554356475,13.550286061236072,56996951598040.234,1.3335662003996127,3717.301508389643,340.135847345143,28513.92609758683,16.629109748185964,53.311252763565534
ALISO VIEJO,open space,0.078,274.59559094128105,Open Space,11.958637985492791,0.014758778820290093,0.2201345108185609,161330190612.2112,0.0463395993015811,78.72905378332054,6.047692008470662,3364.2251407874082,0.3372108377620033,0.38601032811487984
ALISO VIEJO,single family,0.405,589.1525823100146,Single Family Residential,133.22212767485206,3.7948488288860114,9.381787555548202,32330268659691.92,0.9096552552190386,2112.935680993697,230.8866299589577,33777.28278457657,5.41891694336038,29.076223290703297
ALISO VIEJO,surface street,0.471,652.3989982438969,Streets and Roads,171.5646265631888,6.041333642307425,13.62131597636571,35588171584826.28,1.803693838124345,2568.4325973837936,323.394315630041,35586.4597585226,14.380164475955967,52.32970055580475
DANA POINT,agriculture,0.222,31.27477386830112,Agriculture,3.876508220975924,0.075849991393891,0.46130632395396887,12242021587.486912,0.022541896701827366,258.82869633132157,30.30149490644935,7802.296028002164,0.0654146814252064,1.0581130847939935
DANA POINT,business,0.414,30.868449558783,Light Industrial,7.13524211551269,0.1946612168416718,0.5703484264085265,1701115082375.3552,0.07595542112042963,100.6488435378203,9.688829702652049,1507.3190003795619,0.8420278728830907,3.105646324179456
DANA POINT,business,0.422,62.57923053946657,Education,14.744709702273981,0.40226008958851184,1.1786035905157564,3515290392915.034,0.15695902347866353,207.98705297025825,20.02160249191616,3114.818071975335,1.7400189574355234,6.417701424371367
DANA POINT,business,0.486,356.9595247509444,Commercial,96.86096704116876,2.6425275279310094,7.742484310691013,23092650432837.484,1.0310954306300224,1366.308831406497,131.52593833582128,20461.867117147096,11.430534903049212,42.15917293035805
DANA POINT,developed open space,0.217,812.3868306572933,Developed Open Space,98.42743442438658,0.11799941114042989,2.4160728782988534,23669031726131.883,0.5072553505972208,1465.419012233445,173.01625239069915,20910.474468724056,2.8090157487114014,4.803732620782663
DANA POINT,highway/arterial,0.45,52.36644150676027,Freeway,13.157068428573517,0.8259986191230425,3.9196385568339958,757722317844.3474,1.2769449257834433,269.2755923517527,28.49792124540123,6163.764133437928,3.523658555088547,20.96534268392254
DANA POINT,multi-family,0.485,427.3359009687976,Multi-family Residential,115.71900084984232,3.756468513234458,7.283220788182813,30635617644224.73,0.7167861275603526,1998.0336577025046,182.82156280650068,15326.113291493766,8.93807534834533,28.654570288551525
DANA POINT,open space,0.078,136.1628092608208,Open Space,5.929890343308746,0.00731838693600703,0.10915737323226506,79998269080.14627,0.022978264142170118,39.039116020896024,2.9988490732674222,1668.2072155100598,0.16721162501362857,0.19140966721149072
DANA POINT,single family,0.405,1438.7518159334993,Single Family Residential,325.3377543779626,9.267286281501638,22.910981446135022,78952777498432.73,2.221441761637163,5159.93672820857,563.8413003737243,82486.48720686905,13.233374217054719,71.00617109401777
DANA POINT,surface street,0.471,701.1575647210418,Streets and Roads,184.38691058251595,6.492846855543438,14.639336914974708,38247936904346.41,1.9384971197776442,2760.390420554432,347.56394691307855,38246.097140696336,15.45489973373613,56.24068323687472
LAGUNA BEACH,agriculture,0.222,162.94633459290824,Agriculture,20.19719817279098,0.3951900061239213,2.4034761987205107,63782796770.597626,0.11744671465259313,1348.5369241117642,157.87540298400287,40651.15049354059,0.3408204520258358,5.512930308561883
LAGUNA BEACH,business,0.414,22.089434616369793,Light Industrial,5.105972811573877,0.13929939090651947,0.40814081866045143,1217316416086.7039,0.05435363073235973,72.02422150513634,6.933317781909089,1078.636114894295,0.6025543851106616,2.2223977038073155
