Station,Sample Type,Parameter,Qualifier,ResultAvg,Units
J01-9131-1 (J01P28),Total,Bolstar (Sulprofos),<,2,ng/L
J01-9007-1 (J02P05),Total,Bolstar (Sulprofos),<,2,ng/L
J06-10011-1 (J06P01),Total,Bolstar (Sulprofos),<,2,ng/L
J06-9079-1 (J06P03),Total,Bolstar (Sulprofos),<,2,ng/L
J01-9082-2,Total,Bolstar (Sulprofos),<,2,ng/L
I01-11010-1,Total,Bolstar (Sulprofos),<,2,ng/L
I00-11468-1,Total,Bolstar (Sulprofos),<,2,ng/L
J01-10004-1 (J01P01),Total,Bolstar (Sulprofos),<,2,ng/L
L01-749-2,Total,Bolstar (Sulprofos),<,2,ng/L
L05-503-1,Total,Bolstar (Sulprofos),<,2,ng/L
L01-724-4 (L01P03),Total,Bolstar (Sulprofos),<,2,ng/L
L01-724-1 (L01S01),Total,Bolstar (Sulprofos),<,2,ng/L
L01-728-5 (L01-DP),Total,Bolstar (Sulprofos),<,2,ng/L
K01-12126-1 (K01S01),Total,Bolstar (Sulprofos),<,2,ng/L
K01-12159-2,Total,Bolstar (Sulprofos),<,2,ng/L
K01-12159-3,Total,Bolstar (Sulprofos),<,2,ng/L
L05-489-3,Total,Bolstar (Sulprofos),<,2,ng/L
L05-049-1,Total,Bolstar (Sulprofos),<,2,ng/L
L02-374-1 (L02P50),Total,Bolstar (Sulprofos),<,2,ng/L
L01-404-1,Total,Bolstar (Sulprofos),<,2,ng/L
L01-340-1,Total,Bolstar (Sulprofos),<,2,ng/L
L02-246-1 (L11P01),Total,Bolstar (Sulprofos),<,2,ng/L
L02-641-1,Total,Bolstar (Sulprofos),<,2,ng/L
L02-641-2,Total,Bolstar (Sulprofos),<,2,ng/L
L01-731-1 (L08TBN2),Total,Bolstar (Sulprofos),<,2,ng/L
L02-166-3 (L02P26),Total,Bolstar (Sulprofos),<,2,ng/L
L04-672-1,Total,Bolstar (Sulprofos),<,2,ng/L
M01-042-1 (M01S01),Total,Bolstar (Sulprofos),<,2,ng/L
M02-032-1,Total,Bolstar (Sulprofos),<,2,ng/L
SC1-2,Total,Bolstar (Sulprofos),<,2,ng/L
M02-085-1 (M02P06),Total,Bolstar (Sulprofos),<,2,ng/L
M02-085-2,Total,Bolstar (Sulprofos),<,2,ng/L
L01-726-5,Total,Bolstar (Sulprofos),<,2,ng/L
L04-266-5,Total,Chlordane-alpha,<,1,ng/L
I01-11343-2 (I02P18),Total,Chlordane-alpha,<,1,ng/L
L03-418-8,Total,Chlordane-alpha,<,1,ng/L
K01-12177-1 (K01P07),Total,Chlordane-alpha,<,1,ng/L
J03-9221-1 (J03P02),Total,Chlordane-alpha,<,1,ng/L
J01-9224-1 (J01P24),Total,Chlordane-alpha,<,1,ng/L
J01-9224-2 (J01P25),Total,Chlordane-alpha,<,1,ng/L
L03-662-3 (L03P16),Total,Chlordane-alpha,<,1,ng/L
L03-214-2 (L03P18),Total,Chlordane-alpha,<,1,ng/L
L03-316-3 (L03P12),Total,Chlordane-alpha,<,1,ng/L
J01-9992-1 (J01P27),Total,Chlordane-alpha,<,1,ng/L
J01-9131-1 (J01P28),Total,Chlordane-alpha,<,1,ng/L
J01-9007-1 (J02P05),Total,Chlordane-alpha,<,1,ng/L
J06-10011-1 (J06P01),Total,Chlordane-alpha,<,1,ng/L
J06-9079-1 (J06P03),Total,Chlordane-alpha,<,1,ng/L
J01-9082-2,Total,Chlordane-alpha,<,1,ng/L
I01-11010-1,Total,Chlordane-alpha,<,1,ng/L
I00-11468-1,Total,Chlordane-alpha,<,1,ng/L
J01-10004-1 (J01P01),Total,Chlordane-alpha,<,1,ng/L
L01-749-2,Total,Chlordane-alpha,<,1,ng/L
L05-503-1,Total,Chlordane-alpha,<,1,ng/L
L01-724-4 (L01P03),Total,Chlordane-alpha,<,1,ng/L
L01-724-1 (L01S01),Total,Chlordane-alpha,<,1,ng/L
L01-728-5 (L01-DP),Total,Chlordane-alpha,<,1,ng/L
K01-12126-1 (K01S01),Total,Chlordane-alpha,<,1,ng/L
K01-12159-2,Total,Chlordane-alpha,<,1,ng/L
K01-12159-3,Total,Chlordane-alpha,<,1,ng/L
L05-489-3,Total,Chlordane-alpha,<,1,ng/L
L05-049-1,Total,Chlordane-alpha,<,1,ng/L
L02-374-1 (L02P50),Total,Chlordane-alpha,<,1,ng/L
L01-404-1,Total,Chlordane-alpha,<,1,ng/L
L01-340-1,Total,Chlordane-alpha,<,1,ng/L
L02-246-1 (L11P01),Total,Chlordane-alpha,<,1,ng/L
L02-641-1,Total,Chlordane-alpha,<,1,ng/L
L02-641-2,Total,Chlordane-alpha,<,1,ng/L
L01-731-1 (L08TBN2),Total,Chlordane-alpha,<,1,ng/L
L02-166-3 (L02P26),Total,Chlordane-alpha,<,1,ng/L
L04-672-1,Total,Chlordane-alpha,<,1,ng/L
M01-042-1 (M01S01),Total,Chlordane-alpha,<,1,ng/L
M02-032-1,Total,Chlordane-alpha,<,1,ng/L
SC1-2,Total,Chlordane-alpha,<,1,ng/L
M02-085-1 (M02P06),Total,Chlordane-alpha,<,1,ng/L
M02-085-2,Total,Chlordane-alpha,<,1,ng/L
L01-726-5,Total,Chlordane-alpha,<,1,ng/L
L04-266-5,Total,Chlordane-gamma,<,1,ng/L
I01-11343-2 (I02P18),Total,Chlordane-gamma,<,1,ng/L
L03-418-8,Total,Chlordane-gamma,<,1,ng/L
K01-12177-1 (K01P07),Total,Chlordane-gamma,<,1,ng/L
J03-9221-1 (J03P02),Total,Chlordane-gamma,<,1,ng/L
J01-9224-1 (J01P24),Total,Chlordane-gamma,<,1,ng/L
J01-9224-2 (J01P25),Total,Chlordane-gamma,<,1,ng/L
L03-662-3 (L03P16),Total,Chlordane-gamma,<,1,ng/L
L03-214-2 (L03P18),Total,Chlordane-gamma,<,1,ng/L
L03-316-3 (L03P12),Total,Chlordane-gamma,<,1,ng/L
J01-9992-1 (J01P27),Total,Chlordane-gamma,<,1,ng/L
J01-9131-1 (J01P28),Total,Chlordane-gamma,<,1,ng/L
J01-9007-1 (J02P05),Total,Chlordane-gamma,<,1,ng/L
J06-10011-1 (J06P01),Total,Chlordane-gamma,<,1,ng/L
J06-9079-1 (J06P03),Total,Chlordane-gamma,<,1,ng/L
J01-9082-2,Total,Chlordane-gamma,<,1,ng/L
I01-11010-1,Total,Chlordane-gamma,<,1,ng/L
I00-11468-1,Total,Chlordane-gamma,<,1,ng/L
J01-10004-1 (J01P01),Total,Chlordane-gamma,<,1,ng/L
L01-749-2,Total,Chlordane-gamma,<,1,ng/L
L05-503-1,Total,Chlordane-gamma,<,1,ng/L
L01-724-4 (L01P03),Total,Chlordane-gamma,<,1,ng/L
L01-724-1 (L01S01),Total,Chlordane-gamma,<,1,ng/L
L01-728-5 (L01-DP),Total,Chlordane-gamma,<,1,ng/L
K01-12126-1 (K01S01),Total,Chlordane-gamma,<,1,ng/L
K01-12159-2,Total,Chlordane-gamma,<,1,ng/L
K01-12159-3,Total,Chlordane-gamma,<,1,ng/L
L05-489-3,Total,Chlordane-gamma,<,1,ng/L
L05-049-1,Total,Chlordane-gamma,<,1,ng/L
L02-374-1 (L02P50),Total,Chlordane-gamma,<,1,ng/L
L01-404-1,Total,Chlordane-gamma,<,1,ng/L
L01-340-1,Total,Chlordane-gamma,<,1,ng/L
L02-246-1 (L11P01),Total,Chlordane-gamma,<,1,ng/L
L02-641-1,Total,Chlordane-gamma,<,1,ng/L
L02-641-2,Total,Chlordane-gamma,<,1,ng/L
L01-731-1 (L08TBN2),Total,Chlordane-gamma,<,1,ng/L
L02-166-3 (L02P26),Total,Chlordane-gamma,<,1,ng/L
L04-672-1,Total,Chlordane-gamma,<,1,ng/L
M01-042-1 (M01S01),Total,Chlordane-gamma,<,1,ng/L
M02-032-1,Total,Chlordane-gamma,<,1,ng/L
SC1-2,Total,Chlordane-gamma,<,1,ng/L
M02-085-1 (M02P06),Total,Chlordane-gamma,<,1,ng/L
M02-085-2,Total,Chlordane-gamma,<,1,ng/L
L01-726-5,Total,Chlordane-gamma,<,1,ng/L
L04-266-5,Total,Chlorpyrifos,<,0.5,ng/L
I01-11343-2 (I02P18),Total,Chlorpyrifos,<,0.5,ng/L
L03-418-8,Total,Chlorpyrifos,<,0.5,ng/L
K01-12177-1 (K01P07),Total,Chlorpyrifos,<,0.5,ng/L
J03-9221-1 (J03P02),Total,Chlorpyrifos,<,0.5,ng/L
J01-9224-1 (J01P24),Total,Chlorpyrifos,<,0.5,ng/L
J01-9224-2 (J01P25),Total,Chlorpyrifos,<,0.5,ng/L
L03-662-3 (L03P16),Total,Chlorpyrifos,<,0.5,ng/L
L03-214-2 (L03P18),Total,Chlorpyrifos,<,0.5,ng/L
L03-316-3 (L03P12),Total,Chlorpyrifos,<,0.5,ng/L
J01-9992-1 (J01P27),Total,Chlorpyrifos,<,0.5,ng/L
J01-9131-1 (J01P28),Total,Chlorpyrifos,<,0.5,ng/L
J01-9007-1 (J02P05),Total,Chlorpyrifos,<,0.5,ng/L
J06-10011-1 (J06P01),Total,Chlorpyrifos,<,0.5,ng/L
J06-9079-1 (J06P03),Total,Chlorpyrifos,<,0.5,ng/L
J01-9082-2,Total,Chlorpyrifos,<,0.5,ng/L
I01-11010-1,Total,Chlorpyrifos,<,0.5,ng/L
I00-11468-1,Total,Chlorpyrifos,<,0.5,ng/L
J01-10004-1 (J01P01),Total,Chlorpyrifos,<,0.5,ng/L
L01-749-2,Total,Chlorpyrifos,<,0.5,ng/L
L05-503-1,Total,Chlorpyrifos,<,0.5,ng/L
L01-724-4 (L01P03),Total,Chlorpyrifos,<,0.5,ng/L
L01-724-1 (L01S01),Total,Chlorpyrifos,<,0.5,ng/L
L01-728-5 (L01-DP),Total,Chlorpyrifos,<,0.5,ng/L
K01-12126-1 (K01S01),Total,Chlorpyrifos,<,0.5,ng/L
K01-12159-2,Total,Chlorpyrifos,<,0.5,ng/L
K01-12159-3,Total,Chlorpyrifos,<,0.5,ng/L
L05-489-3,Total,Chlorpyrifos,<,0.5,ng/L
L05-049-1,Total,Chlorpyrifos,<,0.5,ng/L
L02-374-1 (L02P50),Total,Chlorpyrifos,<,0.5,ng/L
L01-404-1,Total,Chlorpyrifos,<,0.5,ng/L
L01-340-1,Total,Chlorpyrifos,<,0.5,ng/L
L02-246-1 (L11P01),Total,Chlorpyrifos,<,0.5,ng/L
L02-641-1,Total,Chlorpyrifos,<,0.5,ng/L
L02-641-2,Total,Chlorpyrifos,<,0.5,ng/L
L01-731-1 (L08TBN2),Total,Chlorpyrifos,<,0.5,ng/L
L02-166-3 (L02P26),Total,Chlorpyrifos,<,0.5,ng/L
L04-672-1,Total,Chlorpyrifos,<,0.5,ng/L
M01-042-1 (M01S01),Total,Chlorpyrifos,<,0.5,ng/L
M02-032-1,Total,Chlorpyrifos,<,0.5,ng/L
SC1-2,Total,Chlorpyrifos,<,0.5,ng/L
M02-085-1 (M02P06),Total,Chlorpyrifos,<,0.5,ng/L
M02-085-2,Total,Chlorpyrifos,<,0.5,ng/L
L01-726-5,Total,Chlorpyrifos,<,0.5,ng/L
L04-266-5,Total,Chrysene,<,2.5,ng/L
L03-418-8,Total,Chrysene,<,2.5,ng/L
K01-12177-1 (K01P07),Total,Chrysene,<,2.5,ng/L
J03-9221-1 (J03P02),Total,Chrysene,<,2.5,ng/L
J01-9224-1 (J01P24),Total,Chrysene,NA,4.175,ng/L
J01-9224-2 (J01P25),Total,Chrysene,<,2.5,ng/L
L03-662-3 (L03P16),Total,Chrysene,<,2.5,ng/L
L03-214-2 (L03P18),Total,Chrysene,<,2.5,ng/L
L03-316-3 (L03P12),Total,Chrysene,<,2.5,ng/L
J01-9007-1 (J02P05),Total,Chrysene,<,2.5,ng/L
J06-10011-1 (J06P01),Total,Chrysene,<,2.5,ng/L
J06-9079-1 (J06P03),Total,Chrysene,<,2.5,ng/L
J01-9082-2,Total,Chrysene,<,2.5,ng/L
I01-11010-1,Total,Chrysene,<,2.5,ng/L
I00-11468-1,Total,Chrysene,<,2.5,ng/L
L01-749-2,Total,Chrysene,<,2.5,ng/L
L05-503-1,Total,Chrysene,<,2.5,ng/L
L01-724-1 (L01S01),Total,Chrysene,<,2.5,ng/L
L01-728-5 (L01-DP),Total,Chrysene,<,2.5,ng/L
K01-12159-2,Total,Chrysene,<,2.5,ng/L
K01-12159-3,Total,Chrysene,<,2.5,ng/L
L05-489-3,Total,Chrysene,<,2.5,ng/L
L05-049-1,Total,Chrysene,<,2.5,ng/L
L02-374-1 (L02P50),Total,Chrysene,<,2.5,ng/L
L01-404-1,Total,Chrysene,<,2.5,ng/L
L01-340-1,Total,Chrysene,<,2.5,ng/L
L02-246-1 (L11P01),Total,Chrysene,<,2.5,ng/L
L02-641-1,Total,Chrysene,<,2.5,ng/L
L02-641-2,Total,Chrysene,<,2.5,ng/L
L01-731-1 (L08TBN2),Total,Chrysene,<,2.5,ng/L
L02-166-3 (L02P26),Total,Chrysene,<,2.5,ng/L
L04-672-1,Total,Chrysene,<,2.5,ng/L
M01-042-1 (M01S01),Total,Chrysene,<,2.5,ng/L
M02-032-1,Total,Chrysene,<,2.5,ng/L
SC1-2,Total,Chrysene,<,2.5,ng/L
M02-085-1 (M02P06),Total,Chrysene,<,2.5,ng/L
J01-10004-1 (J01P01),Total,Chrysene,<,2.5,ng/L
J01-9224-1 (J01P24),Total,Chrysene,<,4.175,ng/L
I01-11343-2 (I02P18),Total,Chrysene,<,2.5,ng/L
L01-724-4 (L01P03),Total,Chrysene,<,2.5,ng/L
L01-726-5,Total,Chrysene,<,2.5,ng/L
K01-12126-1 (K01S01),Total,Chrysene,<,2.5,ng/L
J01-9131-1 (J01P28),Total,Chrysene,NA,40.6,ng/L
J01-9992-1 (J01P27),Total,Chrysene,<,2.5,ng/L
M02-085-2,Total,Chrysene,<,2.5,ng/L
L04-266-5,Total,Demeton,<,1,ng/L
I01-11343-2 (I02P18),Total,Demeton,<,1,ng/L
L03-418-8,Total,Demeton,<,1,ng/L
K01-12177-1 (K01P07),Total,Demeton,<,1,ng/L
J03-9221-1 (J03P02),Total,Demeton,<,1,ng/L
J01-9224-1 (J01P24),Total,Demeton,<,1,ng/L
J01-9224-2 (J01P25),Total,Demeton,<,1,ng/L
L03-662-3 (L03P16),Total,Demeton,<,1,ng/L
L03-214-2 (L03P18),Total,Demeton,<,1,ng/L
L03-316-3 (L03P12),Total,Demeton,<,1,ng/L
J01-9992-1 (J01P27),Total,Demeton,<,1,ng/L
J01-9131-1 (J01P28),Total,Demeton,<,1,ng/L
J01-9007-1 (J02P05),Total,Demeton,<,1,ng/L
J06-10011-1 (J06P01),Total,Demeton,<,1,ng/L
J06-9079-1 (J06P03),Total,Demeton,<,1,ng/L
J01-9082-2,Total,Demeton,<,1,ng/L
I01-11010-1,Total,Demeton,<,1,ng/L
I00-11468-1,Total,Demeton,<,1,ng/L
J01-10004-1 (J01P01),Total,Demeton,<,1,ng/L
L01-749-2,Total,Demeton,<,1,ng/L
L05-503-1,Total,Demeton,<,1,ng/L
L01-724-4 (L01P03),Total,Demeton,<,1,ng/L
L01-724-1 (L01S01),Total,Demeton,<,1,ng/L
L01-728-5 (L01-DP),Total,Demeton,<,1,ng/L
K01-12126-1 (K01S01),Total,Demeton,<,1,ng/L
K01-12159-2,Total,Demeton,<,1,ng/L
K01-12159-3,Total,Demeton,<,1,ng/L
L05-489-3,Total,Demeton,<,1,ng/L
L05-049-1,Total,Demeton,<,1,ng/L
L02-374-1 (L02P50),Total,Demeton,<,1,ng/L
L01-404-1,Total,Demeton,<,1,ng/L
L01-340-1,Total,Demeton,<,1,ng/L
L02-246-1 (L11P01),Total,Demeton,<,1,ng/L
L02-641-1,Total,Demeton,<,1,ng/L
L02-641-2,Total,Demeton,<,1,ng/L
L01-731-1 (L08TBN2),Total,Demeton,<,1,ng/L
L02-166-3 (L02P26),Total,Demeton,<,1,ng/L
L04-672-1,Total,Demeton,<,1,ng/L
M01-042-1 (M01S01),Total,Demeton,<,1,ng/L
M02-032-1,Total,Demeton,<,1,ng/L
SC1-2,Total,Demeton,<,1,ng/L
M02-085-1 (M02P06),Total,Demeton,<,1,ng/L
M02-085-2,Total,Demeton,<,1,ng/L
L01-726-5,Total,Demeton,<,1,ng/L
L04-266-5,Total,Diazinon,<,0.5,ng/L
I01-11343-2 (I02P18),Total,Diazinon,<,0.5,ng/L
L03-418-8,Total,Diazinon,<,0.5,ng/L
K01-12177-1 (K01P07),Total,Diazinon,<,0.5,ng/L
J03-9221-1 (J03P02),Total,Diazinon,<,0.5,ng/L
J01-9224-1 (J01P24),Total,Diazinon,<,0.5,ng/L
J01-9224-2 (J01P25),Total,Diazinon,<,0.5,ng/L
L03-662-3 (L03P16),Total,Diazinon,<,0.5,ng/L
L03-214-2 (L03P18),Total,Diazinon,<,0.5,ng/L
L03-316-3 (L03P12),Total,Diazinon,<,0.5,ng/L
J01-9992-1 (J01P27),Total,Diazinon,<,0.5,ng/L
J01-9131-1 (J01P28),Total,Diazinon,<,0.5,ng/L
J01-9007-1 (J02P05),Total,Diazinon,<,0.5,ng/L
J06-10011-1 (J06P01),Total,Diazinon,<,0.5,ng/L
J06-9079-1 (J06P03),Total,Diazinon,<,0.5,ng/L
J01-9082-2,Total,Diazinon,<,0.5,ng/L
I01-11010-1,Total,Diazinon,<,0.5,ng/L
I00-11468-1,Total,Diazinon,<,0.5,ng/L
J01-10004-1 (J01P01),Total,Diazinon,<,0.5,ng/L
L01-749-2,Total,Diazinon,<,7.8,ng/L
L05-503-1,Total,Diazinon,<,0.5,ng/L
L01-724-4 (L01P03),Total,Diazinon,<,0.5,ng/L
L01-724-1 (L01S01),Total,Diazinon,<,0.5,ng/L
L01-728-5 (L01-DP),Total,Diazinon,<,0.5,ng/L
K01-12126-1 (K01S01),Total,Diazinon,<,0.5,ng/L
K01-12159-2,Total,Diazinon,<,0.5,ng/L
K01-12159-3,Total,Diazinon,<,0.5,ng/L
L05-489-3,Total,Diazinon,<,0.5,ng/L
L05-049-1,Total,Diazinon,<,0.5,ng/L
L02-374-1 (L02P50),Total,Diazinon,<,0.5,ng/L
L01-404-1,Total,Diazinon,<,0.5,ng/L
L01-340-1,Total,Diazinon,<,0.5,ng/L
L02-246-1 (L11P01),Total,Diazinon,<,0.5,ng/L
L02-641-1,Total,Diazinon,<,0.5,ng/L
L02-641-2,Total,Diazinon,<,0.5,ng/L
L01-731-1 (L08TBN2),Total,Diazinon,<,0.5,ng/L
L02-166-3 (L02P26),Total,Diazinon,<,0.5,ng/L
L04-672-1,Total,Diazinon,<,0.5,ng/L
M01-042-1 (M01S01),Total,Diazinon,<,0.5,ng/L
M02-032-1,Total,Diazinon,<,0.5,ng/L
SC1-2,Total,Diazinon,<,0.5,ng/L
M02-085-1 (M02P06),Total,Diazinon,<,0.5,ng/L
M02-085-2,Total,Diazinon,<,0.5,ng/L
L01-749-2,Total,Diazinon,NA,7.8,ng/L
L01-726-5,Total,Diazinon,<,0.5,ng/L
L04-266-5,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
I01-11343-2 (I02P18),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L03-418-8,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
K01-12177-1 (K01P07),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
J03-9221-1 (J03P02),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
J01-9224-2 (J01P25),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L03-662-3 (L03P16),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L03-214-2 (L03P18),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L03-316-3 (L03P12),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
J01-9992-1 (J01P27),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
J01-9131-1 (J01P28),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
J01-9007-1 (J02P05),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
J06-10011-1 (J06P01),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
J06-9079-1 (J06P03),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
J01-9082-2,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
I01-11010-1,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
I00-11468-1,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
J01-10004-1 (J01P01),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L01-749-2,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L05-503-1,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L01-724-4 (L01P03),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L01-724-1 (L01S01),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L01-728-5 (L01-DP),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
K01-12126-1 (K01S01),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
K01-12159-2,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
K01-12159-3,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L05-489-3,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L05-049-1,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L02-374-1 (L02P50),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L01-404-1,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L01-340-1,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L02-246-1 (L11P01),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L02-641-1,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L02-641-2,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L01-731-1 (L08TBN2),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L02-166-3 (L02P26),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L04-672-1,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
M01-042-1 (M01S01),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
M02-032-1,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
SC1-2,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
M02-085-1 (M02P06),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
M02-085-2,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
J01-9224-1 (J01P24),Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L01-726-5,Total,"Dibenz[a,h]anthracene",<,2.5,ng/L
L04-266-5,Total,Dichlorvos,<,3,ng/L
I01-11343-2 (I02P18),Total,Dichlorvos,<,3,ng/L
L03-418-8,Total,Dichlorvos,<,3,ng/L
K01-12177-1 (K01P07),Total,Dichlorvos,<,3,ng/L
J03-9221-1 (J03P02),Total,Dichlorvos,<,3,ng/L
J01-9224-1 (J01P24),Total,Dichlorvos,<,3,ng/L
J01-9224-2 (J01P25),Total,Dichlorvos,<,3,ng/L
L03-662-3 (L03P16),Total,Dichlorvos,<,3,ng/L
L03-214-2 (L03P18),Total,Dichlorvos,<,3,ng/L
L03-316-3 (L03P12),Total,Dichlorvos,<,3,ng/L
J01-9992-1 (J01P27),Total,Dichlorvos,<,3,ng/L
J01-9131-1 (J01P28),Total,Dichlorvos,<,3,ng/L
J01-9007-1 (J02P05),Total,Dichlorvos,<,3,ng/L
J06-10011-1 (J06P01),Total,Dichlorvos,<,3,ng/L
J06-9079-1 (J06P03),Total,Dichlorvos,<,3,ng/L
J01-9082-2,Total,Dichlorvos,<,3,ng/L
I01-11010-1,Total,Dichlorvos,<,3,ng/L
I00-11468-1,Total,Dichlorvos,<,3,ng/L
J01-10004-1 (J01P01),Total,Dichlorvos,<,3,ng/L
L01-749-2,Total,Dichlorvos,<,3,ng/L
L05-503-1,Total,Dichlorvos,<,3,ng/L
L01-724-4 (L01P03),Total,Dichlorvos,<,3,ng/L
L01-724-1 (L01S01),Total,Dichlorvos,<,3,ng/L
L01-728-5 (L01-DP),Total,Dichlorvos,<,3,ng/L
K01-12126-1 (K01S01),Total,Dichlorvos,<,3,ng/L
K01-12159-2,Total,Dichlorvos,<,3,ng/L
K01-12159-3,Total,Dichlorvos,<,3,ng/L
L05-489-3,Total,Dichlorvos,<,3,ng/L
L05-049-1,Total,Dichlorvos,<,3,ng/L
L02-374-1 (L02P50),Total,Dichlorvos,<,3,ng/L
L01-404-1,Total,Dichlorvos,<,3,ng/L
L01-340-1,Total,Dichlorvos,<,3,ng/L
L02-246-1 (L11P01),Total,Dichlorvos,<,3,ng/L
L02-641-1,Total,Dichlorvos,<,3,ng/L
L02-641-2,Total,Dichlorvos,<,3,ng/L
L01-731-1 (L08TBN2),Total,Dichlorvos,<,3,ng/L
L02-166-3 (L02P26),Total,Dichlorvos,<,3,ng/L
L04-672-1,Total,Dichlorvos,<,3,ng/L
M01-042-1 (M01S01),Total,Dichlorvos,<,3,ng/L
M02-032-1,Total,Dichlorvos,<,3,ng/L
SC1-2,Total,Dichlorvos,<,3,ng/L
M02-085-1 (M02P06),Total,Dichlorvos,<,3,ng/L
M02-085-2,Total,Dichlorvos,<,3,ng/L
L01-726-5,Total,Dichlorvos,<,3,ng/L
L04-266-5,Total,Dieldrin,<,1,ng/L
I01-11343-2 (I02P18),Total,Dieldrin,<,1,ng/L
L03-418-8,Total,Dieldrin,<,1,ng/L
K01-12177-1 (K01P07),Total,Dieldrin,<,1,ng/L
J03-9221-1 (J03P02),Total,Dieldrin,<,1,ng/L
J01-9224-1 (J01P24),Total,Dieldrin,<,1,ng/L
J01-9224-2 (J01P25),Total,Dieldrin,<,1,ng/L
L03-662-3 (L03P16),Total,Dieldrin,<,1,ng/L
L03-214-2 (L03P18),Total,Dieldrin,<,1,ng/L
L03-316-3 (L03P12),Total,Dieldrin,<,1,ng/L
J01-9992-1 (J01P27),Total,Dieldrin,<,1,ng/L
J01-9131-1 (J01P28),Total,Dieldrin,<,1,ng/L
J01-9007-1 (J02P05),Total,Dieldrin,<,1,ng/L
J06-10011-1 (J06P01),Total,Dieldrin,<,1,ng/L
J06-9079-1 (J06P03),Total,Dieldrin,<,1,ng/L
J01-9082-2,Total,Dieldrin,<,1,ng/L
I01-11010-1,Total,Dieldrin,<,1,ng/L
I00-11468-1,Total,Dieldrin,<,1,ng/L
J01-10004-1 (J01P01),Total,Dieldrin,<,1,ng/L
L01-749-2,Total,Dieldrin,<,1,ng/L
L05-503-1,Total,Dieldrin,<,1,ng/L
L01-724-4 (L01P03),Total,Dieldrin,<,1,ng/L
L01-724-1 (L01S01),Total,Dieldrin,<,1,ng/L
L01-728-5 (L01-DP),Total,Dieldrin,<,1,ng/L
K01-12126-1 (K01S01),Total,Dieldrin,<,1,ng/L
K01-12159-2,Total,Dieldrin,<,1,ng/L
K01-12159-3,Total,Dieldrin,<,1,ng/L
L05-489-3,Total,Dieldrin,<,1,ng/L
L05-049-1,Total,Dieldrin,<,1,ng/L
L02-374-1 (L02P50),Total,Dieldrin,<,1,ng/L
L01-404-1,Total,Dieldrin,<,1,ng/L
L01-340-1,Total,Dieldrin,<,1,ng/L
L02-246-1 (L11P01),Total,Dieldrin,<,1,ng/L
L02-641-1,Total,Dieldrin,<,1,ng/L
L02-641-2,Total,Dieldrin,<,1,ng/L
L01-731-1 (L08TBN2),Total,Dieldrin,<,1,ng/L
L02-166-3 (L02P26),Total,Dieldrin,<,1,ng/L
L04-672-1,Total,Dieldrin,<,1,ng/L
M01-042-1 (M01S01),Total,Dieldrin,<,1,ng/L
M02-032-1,Total,Dieldrin,<,1,ng/L
SC1-2,Total,Dieldrin,<,1,ng/L
M02-085-1 (M02P06),Total,Dieldrin,<,1,ng/L
