Station,median_dry,average_dry,sd_dry
J01-10004-1 (J01P01),0.116,0.31007518796992484,1.8563598365588472
J01-10017-1 (J01TBN4),0.001,0.001921259842519685,0.006440948243326897
J01-10019-1 (J01P33),0.014,0.015354037267080746,0.010186639496104813
J01-9005-1 (J03P05),0.009,0.01029608938547486,0.004864054848066484
J01-9007-1 (J02P05),0.034,0.03639664804469274,0.017267043036320033
J01-9008-1 (J01P30),0.036,0.045850877192982455,0.03557149909543158
J01-9046-1,0.002,0.0025314285714285716,0.0010382820217312088
J01-9046-2,0.008,2.51552,5.325163715404632
J01-9066-1 (J01P04),0.002,1.0783657142857144,5.228137534904299
J01-9066-2 (J01P03),0.256,0.8012,2.4654491652043644
J01-9082-2,0.037,0.038566473988439307,0.014877110080772546
J01-9082-3,0,4.252873563218391e-4,5.915040866968695e-4
J01-9082-4,0.022,0.022982758620689655,0.014993052008546979
J01-9131-1 (J01P28),0.014,0.01646368715083799,0.015171771904857924
J01-9144-1 (J01P23),0.005,0.008620111731843575,0.023031752337105898
J01-9224-1 (J01P24),0.005,0.013184357541899441,0.015703881328204248
J01-9273-1,0,0.050822485207100594,0.4723824159220561
J01-9377-1,0.01,0.02429142857142857,0.03566560347079467
J01-9992-1 (J01P27),0.007,0.02548235294117647,0.0928692900910565
J03-9215-3,0.048,0.048273743016759775,0.012973089388062785
J03-9234-6,0.035,0.05003351955307263,0.18925156848358804
J03-9368-1 (J03TBN1),0,2.793296089385475e-4,0.0025834754915552618
J06-10011-1 (J06P01),0.001,0.001382857142857143,0.001910871155109253
J06-9079-1 (J06P03),0.024,0.025371428571428573,0.011920921708669865
J07-9109-4 (J07P02),0.003,0.0044742857142857145,0.006133399371387182
J07-9110-3,0,1.1428571428571429e-5,1.0659685728753752e-4
